ticker,cvar_bootstrap_t0_01,cvar_bootstrap_t0_014678,cvar_bootstrap_t0_0215443,cvar_bootstrap_t0_0316228,cvar_bootstrap_t0_0464159,cvar_bootstrap_t0_0681292,cvar_bootstrap_t0_1,cvar_bootstrap_t0_14678,cvar_bootstrap_t0_215443,cvar_bootstrap_t0_316228,cvar_bootstrap_t0_464159,cvar_bootstrap_t0_681292,cvar_bootstrap_t1,cvar_bootstrap_t1_4678,cvar_bootstrap_t2_15443,cvar_bootstrap_t3_16228,cvar_bootstrap_t4_64159,cvar_bootstrap_t6_81292,cvar_bootstrap_t10,cvar_bootstrap_t14_678,cvar_bootstrap_t21_5443,cvar_bootstrap_t31_6228,cvar_bootstrap_t46_4159,cvar_bootstrap_t68_1292,cvar_bootstrap_t100,cvar_montecarlo_t0_01,cvar_montecarlo_t0_014678,cvar_montecarlo_t0_0215443,cvar_montecarlo_t0_0316228,cvar_montecarlo_t0_0464159,cvar_montecarlo_t0_0681292,cvar_montecarlo_t0_1,cvar_montecarlo_t0_14678,cvar_montecarlo_t0_215443,cvar_montecarlo_t0_316228,cvar_montecarlo_t0_464159,cvar_montecarlo_t0_681292,cvar_montecarlo_t1,cvar_montecarlo_t1_4678,cvar_montecarlo_t2_15443,cvar_montecarlo_t3_16228,cvar_montecarlo_t4_64159,cvar_montecarlo_t6_81292,cvar_montecarlo_t10,cvar_montecarlo_t14_678,cvar_montecarlo_t21_5443,cvar_montecarlo_t31_6228,cvar_montecarlo_t46_4159,cvar_montecarlo_t68_1292,cvar_montecarlo_t100
PM,0.10000000000000002,0.1,0.09999999999999996,0.09999999999998764,0.1,0.10000000000000005,0.1,0.09999999999999949,0.09999999999998957,0.09917508828384536,0.09568333720655142,0.09999999999999996,0.10000000000008043,0.10000000000000006,0.10000000000000059,0.0999999999999985,0.07653011312741469,0.08564852333048625,0.07247981796125942,0.05698193117892723,0.0,0.0,0.0,0.0,0.0,0.05217440642585804,0.05208112587361228,0.051974908316007436,0.051974908316024006,0.051986611620513636,0.05198661162052135,0.05198661162052528,0.055741787328715646,0.057821387433722185,0.05359281328073931,0.05262955482927595,0.04812096272258006,0.04389538100284564,0.042795507454417805,0.03254235766224875,0.035831156382857166,0.031039995829832596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGT,3.740778241323001e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012804710592355859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COST,3.740778241323001e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09949013302107988,0.09969945670997775,0.09999999999999983,0.09999999999999938,0.0999999999999985,0.10000000000000003,0.0999999999999998,0.09686970307685251,0.09641276860136515,0.09359676430123752,0.09541248334659226,0.10000000000000007,0.1,0.1,0.1,0.10000000000000002,0.09999999999999992,0.1,0.09902321681596737,0.08001252489452439,0.09421549329652779,0.07783592615332847,0.023907107616125137,0.0,0.0
KR,0.10000000000000002,0.1,0.09999999999999996,0.09999999999998764,0.1,0.10000000000000005,0.1,0.09999999999999949,0.09999999999998957,0.10000000000000019,0.1,0.09999999999999996,0.10000000000008043,0.10000000000000006,0.10000000000000059,0.0999999999999985,0.10000000000000019,0.1,0.10000000000000009,0.1000000000000001,0.02821231014088754,0.0,0.0,0.0,0.0,0.1,0.09999999999999999,0.09999999999999983,0.09999999999999938,0.0999999999999985,0.10000000000000003,0.0999999999999998,0.09999999999999948,0.10000000000000005,0.1,0.1000000000000006,0.10000000000000007,0.1,0.1,0.1,0.10000000000000002,0.09999999999999992,0.1,0.09999999999999999,0.04760284248480587,0.0,0.0,0.0,0.0,0.0
IRM,3.740778241323001e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027809074441253806,0.004934842320393516,0.00606749771573882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019196885316349558,0.01918866583507808,0.018945677143135706,0.018945677143238943,0.018848045967529085,0.018848045967511953,0.018848045967510323,0.011139377058136979,0.01136881290371073,0.009433328968542001,0.01104556386833383,0.006518516439792322,0.01213729519901899,0.015659439590901353,0.011615000836654947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,0.09976416235571355,0.09976416317713803,0.09976416317713832,0.09976416317709148,0.09976416317713795,0.09726874227762566,0.09726874227762629,0.09726874227762916,0.09031053591222084,0.09028027331228743,0.09168813716760868,0.07746924207865909,0.07664536752318009,0.06945517718771521,0.043586151468361096,0.024751589534438657,0.022481358528967443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.09999999999999999,0.09999999999999983,0.09999999999999938,0.0999999999999985,0.10000000000000003,0.0999999999999998,0.09374786707449075,0.09057885895920473,0.08905277818746907,0.0899869017033713,0.08939148266996357,0.08937046840922261,0.08231002655103478,0.07680142406053275,0.06652447933427916,0.03901805714392607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMUS,3.740778241323001e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03718142952314389,0.03710237140989983,0.037092048972477844,0.03709204897232038,0.0371356255349148,0.0371356255349201,0.03713562553491853,0.03808151617316194,0.038176757836595514,0.04270040826457795,0.0409227638090806,0.03636898253758173,0.030944651991771613,0.029353123452971027,0.02523439621877706,0.011168468480529712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBOE,0.10000000000000002,0.1,0.09999999999999996,0.09999999999998764,0.1,0.10000000000000005,0.1,0.09999999999999949,0.09999999999998957,0.10000000000000019,0.1,0.09999999999999996,0.10000000000008043,0.10000000000000006,0.10000000000000059,0.0999999999999985,0.10000000000000019,0.1,0.08901766271344201,0.05893259231855763,0.0,0.0,0.0,0.0,0.0,0.1,0.09999999999999999,0.09999999999999983,0.09999999999999938,0.0999999999999985,0.10000000000000003,0.0999999999999998,0.09999999999999948,0.10000000000000005,0.1,0.1000000000000006,0.10000000000000007,0.1,0.1,0.1,0.10000000000000002,0.09999999999999992,0.1,0.09999999999999999,0.1,0.037842190401547196,0.0,0.0,0.0,0.0
PGR,0.10000000000000002,0.1,0.09999999999999996,0.09999999999998764,0.1,0.10000000000000005,0.1,0.09999999999999949,0.09999999999998957,0.10000000000000019,0.1,0.09999999999999996,0.10000000000008043,0.10000000000000006,0.10000000000000059,0.0999999999999985,0.10000000000000019,0.1,0.10000000000000009,0.1000000000000001,0.08683874191786464,0.00669954931090129,0.0,0.0,0.0,0.03810271522218906,0.03820999342615031,0.03822156062505207,0.03822156062506456,0.03816139887899819,0.03816139887896469,0.03816139887896297,0.04070860429329365,0.040326974734415426,0.04123233016308354,0.039441715701048374,0.04294821638595893,0.04305894494465055,0.03924898701489216,0.04508083334247237,0.033737411752843366,0.030450968918383725,0.027231859112846094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STX,0.027008471306112718,0.027008471251132458,0.027008471251132423,0.027008471251136795,0.027008471251132496,0.026389580454103327,0.026389580454103247,0.026389580454119654,0.02795006406169502,0.027960090040441192,0.02771121486024543,0.026330345351378584,0.0262227539183693,0.03208225138373908,0.04595187200967263,0.056540702891077675,0.06833160201820448,0.07249857517420524,0.0715609747483847,0.06688415131762905,0.10000000000000206,0.09999999999999999,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010869414895537171,0.00455448107847734,0.009987691739665664,0.023792150922325974,0.03652413102699257,0.0623725105082119,0.0857265890872695,0.1,0.1,0.09999999999999998,0.09999999999999999,0.1,0.1
NEM,0.10000000000000002,0.1,0.09999999999999996,0.09999999999998764,0.1,0.10000000000000005,0.1,0.09999999999999949,0.09999999999998957,0.10000000000000019,0.1,0.09999999999999996,0.10000000000008043,0.10000000000000006,0.10000000000000059,0.0999999999999985,0.10000000000000019,0.1,0.10000000000000009,0.1000000000000001,0.10000000000000206,0.09999999999999999,0.1,0.1,0.1,0.1,0.09999999999999999,0.09999999999999983,0.09999999999999938,0.0999999999999985,0.10000000000000003,0.0999999999999998,0.09999999999999948,0.10000000000000005,0.1,0.1000000000000006,0.10000000000000007,0.1,0.1,0.1,0.0946459964825702,0.09306729994750326,0.09853507392494558,0.09317071517417869,0.1,0.1,0.09999999999999998,0.09999999999999999,0.1,0.1
NVDA,3.740778241323001e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010591882449685612,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003928453967692273,0.07301019157939266,0.1,0.09999999999999998,0.09999999999999999,0.1,0.1
VRT,3.740778241323001e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01925201415801072,0.053233201120007276,0.09595843943008013,0.10000000000000206,0.09999999999999999,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016277256537200575,0.010733179533823564,0.0239530079856867,0.04136360872273911,0.05892612860444964,0.09405574717941313,0.1,0.09999999999999998,0.09999999999999999,0.1,0.1
TKO,0.08444838656719865,0.08444838631989808,0.08444838631989744,0.08444838631998695,0.08444838631989779,0.07933191688810347,0.07933191688810257,0.07933191688809707,0.07232350754053439,0.0713422159501879,0.0680862909515477,0.052032963859192524,0.051115481962884866,0.05444987119242521,0.034475065246130476,0.013605007353930278,0.004106146100086369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034768996205665856,0.03470205076739837,0.03459226422482576,0.03459226422486079,0.034586492413224534,0.034586492413220676,0.03458649241322155,0.03186594180645178,0.029444667536227532,0.029482628212252424,0.028133831921116445,0.02903074627200601,0.02869312895503257,0.03152666467121404,0.03350376710435116,0.029621991550343042,0.03686104545570285,0.03407477800769135,0.02163880410709038,0.0,0.0,0.0,0.0,0.0,0.0
SW,0.06313328937412732,0.06313328973743887,0.06313328973743831,0.06313328973744761,0.06313328973743862,0.06271448864381662,0.06271448864381658,0.06271448864381497,0.06337085095116374,0.06349020323864447,0.06393242520022872,0.06190801704420554,0.06178530238967587,0.05957676330291256,0.05680288542256638,0.046859408747973993,0.028505098095320005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06491260031510471,0.06480795836432691,0.06466436708483818,0.06466436708488175,0.06466717616339178,0.06466717616339933,0.06466717616340036,0.06308934959142401,0.06232365791096137,0.06106072923605105,0.060857029438779485,0.06150186261809674,0.06237908845011873,0.0652833184986415,0.06491567191066588,0.06920910348093377,0.0603530980821259,0.04433388001566457,0.0378378936866612,0.0047059268525372925,0.0,0.0,0.0,0.0,0.0
PWR,0.03293795004780744,0.03293794975225483,0.03293794975225488,0.032937949752247904,0.03293794975225485,0.033435906107060535,0.03343590610706086,0.0334359061070571,0.034078951801458764,0.03419292026492819,0.0344844617518702,0.036410542276327146,0.03657983891470973,0.04142982983289574,0.054951284308101395,0.07480960732362375,0.07918328321965623,0.1,0.09104905183633732,0.1000000000000001,0.10000000000000206,0.09999999999999999,0.1,0.1,0.1,0.048505509144056984,0.0486047848339423,0.048874147763645036,0.04887414776353536,0.0489277062315783,0.04892770623159102,0.04892770623159207,0.05607618637702512,0.05877139977590563,0.06523281469566759,0.06478504565896819,0.06941994045833974,0.07249279815549087,0.07407606241911383,0.08063714782559038,0.09976895723479133,0.09999999999999992,0.1,0.09999999999999999,0.1,0.1,0.09999999999999998,0.09999999999999999,0.1,0.1
HWM,3.740778241323001e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000206,0.09999999999999999,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022699084012102754,0.1,0.09999999999999998,0.09999999999999999,0.1,0.1
MRNA,0.010311385480990113,0.010311385286114068,0.010311385286114083,0.010311385286132393,0.010311385286114062,0.011111175924690098,0.011111175924690164,0.011111175924686545,0.012328848107457777,0.012486263514878023,0.012934681569225065,0.01573583595131076,0.015921124083925275,0.015846583282398196,0.01884739493702018,0.02051796844742019,0.02086239891034944,0.022600887337297804,0.022659291620568702,0.02124288575480529,0.05681523563933203,0.09224126244413024,0.1,0.1,0.1,0.021090626850994953,0.021162288180545216,0.02126084818797105,0.021260848187978767,0.02125901958245963,0.021259019582454367,0.02125901958245341,0.022184865470887303,0.0225432453955643,0.023291400549184285,0.023186752302568954,0.021984286563572403,0.021309514963526004,0.019535423078506906,0.01668592280719755,0.01399924597160102,0.011685659145377213,0.001356484074624545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,3.740778241323001e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004807306889527913,0.020928143970459615,0.06637459219450154,0.1,0.09999999999999998,0.09999999999999999,0.1,0.1
EA,0.10000000000000002,0.1,0.09999999999999996,0.09999999999998764,0.1,0.10000000000000005,0.1,0.09999999999999949,0.09999999999998957,0.10000000000000019,0.1,0.09999999999999996,0.10000000000008043,0.10000000000000006,0.10000000000000059,0.0999999999999985,0.10000000000000019,0.1,0.10000000000000009,0.1000000000000001,0.10000000000000206,0.09999999999999999,0.0,0.0,0.0,0.1,0.09999999999999999,0.09999999999999983,0.09999999999999938,0.0999999999999985,0.10000000000000003,0.0999999999999998,0.09999999999999948,0.10000000000000005,0.1,0.1000000000000006,0.10000000000000007,0.1,0.1,0.1,0.10000000000000002,0.09999999999999992,0.09496862816203697,0.08232451674118793,0.02760201071351463,0.0,0.0,0.0,0.0,0.0
STLD,3.740778241323001e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002883391027191449,0.0,0.0062693290676592165,0.08140549165107473,0.09999999999999999,0.1,0.1
MCK,3.740778241323001e-11,0.0,0.0,0.0,0.0,0.00941865163840977,0.009418651638410467,0.009418651638435995,0.0005104718265820869,0.0010729453947864414,0.005479451292722807,0.030113053438926677,0.03173013120669196,0.024378616373788194,0.04045050428775027,0.05684821798580711,0.10000000000000019,0.1,0.10000000000000009,0.1000000000000001,0.10000000000000206,0.09999999999999999,0.1,0.1,0.1,0.03689681937534236,0.036795035700662324,0.036748513084827884,0.03674851308486748,0.03679058151119014,0.036790581511203214,0.03679058151120518,0.038641475161153224,0.03816645443331101,0.03638148503141149,0.03663705286064586,0.032414411201493,0.03187637138924517,0.030462028140919178,0.028823153459195228,0.032051670954477876,0.047568061997758246,0.07956197672686777,0.07489651966193468,0.06398180326663232,0.058173362021011615,0.023973153365952325,0.033172504210864366,0.03263188881028748,0.0
LLY,0.08239635441915687,0.08239635447602375,0.08239635447602484,0.08239635447603112,0.08239635447602414,0.0803295380661902,0.08032953806618989,0.08032953806616264,0.09912676979894994,0.10000000000000019,0.1,0.09999999999999996,0.10000000000008043,0.10000000000000006,0.10000000000000059,0.0999999999999985,0.10000000000000019,0.1,0.10000000000000009,0.1000000000000001,0.10000000000000206,0.09999999999999999,0.1,0.1,0.1,0.04767987860021471,0.0476462688984068,0.04762566459721999,0.047625664597231734,0.04763734209620888,0.047637342096213224,0.0476373420962116,0.05185332658840925,0.05262561517056892,0.05148403891076172,0.052094669973741126,0.056403734220553156,0.055910596481552575,0.057290417802343195,0.06344013316224688,0.07242716340140852,0.08313208204316257,0.1,0.09999999999999999,0.1,0.1,0.09999999999999998,0.09999999999999999,0.1,0.1
MSI,3.740778241323001e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCA,3.740778241323001e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02813371230189935,0.09999999999999999,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001439399308447411,0.0034584801990220856,0.004866634586475308,0.005896857910061987,0.0068448185679709705,0.007904520246566902,0.007824303157445676,0.006489024517215307,0.006346592423548835,0.011393893854844224,0.01871562715591715,0.019955276822575443,0.0034996252132542256,0.01678542882964457,0.042920388173010575,0.06736811118971262,0.1
