ticker,markowitz_d100,markowitz_d68_13,markowitz_d46_42,markowitz_d31_62,markowitz_d21_54,markowitz_d14_68,markowitz_d10,markowitz_d6_813,markowitz_d4_642,markowitz_d3_162,markowitz_d2_154,markowitz_d1_468,markowitz_d1,markowitz_d0_6813,markowitz_d0_4642,markowitz_d0_3162,markowitz_d0_2154,markowitz_d0_1468,markowitz_d0_1,markowitz_d0_06813,markowitz_d0_04642,markowitz_d0_03162,markowitz_d0_02154,markowitz_d0_01468,markowitz_d0_01
PM,0.06933350471133841,0.06845146144136734,0.06708056258001845,0.06510641024846417,0.0624771931012369,0.05857430024055509,0.05320492781318576,0.05221084952851628,0.050799735364362365,0.03834091435507377,0.007646070091433471,2.5381489866307535e-17,2.1369889510742757e-17,4.860380899346984e-17,7.509851056314759e-17,0.0,0.0,0.0,0.0,1.4785454434563568e-16,3.509280603872059e-16,0.0,0.0,5.033519047346901e-16,0.0
TGT,0.008058857108087113,0.007299801571627289,0.006057759169487173,0.004342398841356864,0.00191507028114541,1.8699520737725284e-17,3.1079352283687576e-17,4.845363740520618e-17,1.4252181516483487e-17,9.210194211529086e-18,0.0,4.907737788856622e-18,2.960380943896838e-18,1.8139292003325195e-17,0.0,0.0,9.392764467325158e-17,1.5189853876730157e-16,1.5637059475492397e-16,0.0,0.0,0.0,0.0,2.0149357823151103e-16,3.733519383199232e-16
COST,0.09999999999999844,0.09999999999999906,0.1,0.09999999999999998,0.09999999999999995,0.09999999999999996,0.09999999999761709,0.09999999999999999,0.09999999999999996,0.09849828363683139,0.06288463127634952,0.009917243307722022,0.0429424616064001,0.0,3.526612364373535e-16,3.2244670604764894e-16,2.41417117643643e-16,8.351276166432061e-16,1.2128560412393538e-16,3.9418106541918943e-16,9.814808171990547e-17,0.0,0.0,5.190586726521226e-16,2.9844005137416613e-16
KR,0.09999999999999874,0.09999999999999871,0.09999999999999956,0.09999999999999948,0.09999999999999998,0.09999999999999996,0.09999999999761706,0.1,0.1,0.1,0.1,0.10000000000000002,0.04198649224775763,6.035431020105574e-17,0.0,4.25553876580379e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5417153965515674e-17,1.6727416240059709e-16
IRM,4.361449112268078e-16,0.0,1.840389146023641e-16,6.58502750897477e-17,1.4810022491007068e-16,1.86720124520103e-18,4.1359329897121875e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.836272883222078e-16,0.0,0.0,0.0,8.430756093247274e-16,3.989863994746653e-16,5.238864897449952e-16,4.926614671774127e-16,0.0,4.614364446098307e-16,0.0
MCD,0.09999999999999874,0.09999999999999988,0.09999999999999959,0.09999999999999994,0.09999999999999998,0.09999999999999994,0.09804503025915436,0.0676958368333111,0.019116735145210447,1.2024122655041733e-17,0.0,0.0,5.0086793670140186e-17,1.0312414483367323e-16,0.0,0.0,9.979553022801921e-17,0.0,0.0,0.0,0.0,0.0,0.0,3.186558056389086e-16,6.826966330596956e-17
TMUS,0.04272580076240286,0.04187149362415266,0.040658046567104686,0.03889233116057793,0.03698598843429213,0.033972368294179406,0.02863529782654558,0.025908049494742028,0.021770978305926596,0.0017572287873821946,3.007485677974119e-18,0.0,0.0,5.409718346747818e-17,6.845686750571768e-17,0.0,4.387459548527492e-17,0.0,0.0,0.0,0.0,0.0,0.0,3.3382498398961493e-16,2.7830455236387103e-16
CBOE,0.09999999999999874,0.09999999999999958,0.0999999999999997,0.09999999999999998,0.09999999999999995,0.09999999999999996,0.09999999999761704,0.09999999999999999,0.09999999999999999,0.1,0.1,0.06479093444869871,0.019113479887784526,0.0,0.0,0.0,2.6083894120870353e-16,0.0,0.0,0.0,0.0,6.159070527470547e-17,0.0,0.0,2.6318230331821994e-16
PGR,0.0808265577492415,0.08040696852917693,0.08008741683516528,0.07950780878848404,0.07883125238780113,0.07783632572955315,0.07653204761742549,0.07876600262752337,0.08159970922521119,0.08196830101489125,0.08070222179435456,0.05177665222112651,0.03978555737777664,3.92118465714085e-17,0.0,3.6657735889070456e-17,1.0590232862362763e-16,0.0,0.0,0.0,0.0,5.935256174296411e-16,0.0,0.0,2.0856461584341326e-16
STX,0.0028058522677940896,0.0037295821152062195,0.005059232390099573,0.0068861011407045135,0.010039543590326707,0.01445685395503213,0.019652152266007174,0.027605056787361068,0.041115987827243,0.055425868670465346,0.08220148431346302,0.10000000000000002,0.1,0.09999999999999992,0.09999999999999996,0.09999999999999996,0.09999999999999984,0.0999999999999999,0.0999999999999999,0.09999999999999992,0.0999999999999999,0.09999999999999991,0.1,0.09999999999999955,0.09999999999999977
NEM,0.07727735368877606,0.07708489688030602,0.0768782400937508,0.07649142759878595,0.07620372117454387,0.07566288929819971,0.0749213073428842,0.07512204727895246,0.0764658317612436,0.07572112473818027,0.07264143680434192,0.05736855380038625,0.05866007515783339,0.032472652702290807,0.0,0.0,5.922502436702291e-16,0.0,0.0,0.0,0.0,2.0781315862832838e-16,0.0,1.5687376525006537e-16,0.0
NVDA,0.0,9.410364144315849e-17,1.3930227697179142e-15,3.733575692806531e-16,8.807054450655955e-17,4.4908321536477284e-17,4.1205604290707117e-17,2.177454424867275e-17,1.3431029778417963e-18,0.025667696941416206,0.07307889271073038,0.10000000000000002,0.1,0.09999999999999981,0.0999999999999997,0.09999999999999996,0.09999999999999976,0.09999999999999992,0.0999999999999999,0.09999999999999992,0.0999999999999999,0.09999999999999983,0.1,0.09999999999999948,0.09999999999999987
VRT,2.5885374251763658e-15,5.208206464368308e-16,0.0,0.0,0.0,9.939962423286895e-17,0.003378790610141832,0.009848299565508086,0.019548805200708504,0.026007732865767345,0.037174109744686094,0.08989804224970867,0.1,0.09999999999999992,0.09999999999999983,0.09999999999999996,0.09999999999999976,0.09999999999999981,0.0999999999999999,0.09999999999999992,0.09999999999999987,0.09999999999999991,0.1,0.09999999999999959,0.09999999999999955
TKO,0.03216107267080164,0.03170985140951722,0.031043455422794852,0.030125423666596443,0.029000465341520634,0.027257847502425613,0.024347825330099,0.021093383828459066,0.016624760407711183,0.003686972778874604,0.0,0.0,6.323706903768224e-17,1.103764579492208e-16,0.0,0.0,0.0,7.013293507927889e-19,0.0,0.0,0.0,0.0,0.0,4.704609716834301e-16,2.22744387786046e-16
SW,0.06378935900716992,0.06362991139908578,0.06325528889427524,0.06276926700231521,0.062135571062927206,0.06090361635951774,0.05876138124717536,0.05589202417449425,0.05169904641941963,0.04200159113499116,0.0241492050624384,1.3441207233133125e-17,0.0,7.449606774442183e-17,4.784689255352966e-18,0.0,6.009487381381481e-17,5.063210741924079e-17,0.0,0.0,3.8816135037016726e-17,0.0,0.0,4.99646387442197e-16,0.0
PWR,0.0106607684586995,0.01204103728154919,0.014057748787389579,0.017022342484769484,0.021312941628060203,0.027475702487274496,0.03427584331214098,0.045902593173349035,0.06372430406615553,0.08115869051277678,0.1,0.10000000000000002,0.09999999999999999,0.09999999999999988,0.09999999999999996,0.09999999999999996,0.09999999999999984,0.09999999999999992,0.0999999999999999,0.09999999999999983,0.0999999999999999,0.09999999999999991,0.1,0.09999999999999967,0.0999999999999999
HWM,0.0,2.192219023020507e-16,7.13998165290025e-17,2.2591933194772953e-16,0.0,4.022967406912738e-17,4.7611264019607284e-17,0.0,1.0554966928505236e-17,0.010172665389162384,0.03225015097567643,0.08956421754955624,0.09999999999999999,0.09999999999999987,0.09999999999999996,0.09999999999999996,0.09999999999999984,0.09999999999999992,0.0999999999999999,0.09999999999999992,0.0999999999999999,0.09999999999999981,0.1,0.09999999999999933,0.0999999999999998
MRNA,0.019526962861137812,0.01963851703587649,0.019783230714463102,0.020052066539795188,0.020445193200973745,0.020909955511110977,0.021520246635924722,0.022110814249580675,0.023241375976463002,0.024250519832129624,0.027271797226526267,0.03668435642280147,0.058854468177848354,0.09117550961991362,0.09999999999999995,0.09999999999999996,0.09999999999999976,0.09999999999999992,0.0999999999999999,0.09999999999999992,0.0999999999999999,0.09999999999999985,0.1,0.09999999999999955,0.09999999999999952
AAPL,0.0,0.0,4.449572730953746e-16,0.0,7.107595119986885e-18,2.711784328880686e-17,3.973451816544765e-17,1.4512171865116575e-17,1.1750336601097395e-17,3.0803023353768714e-17,0.0,1.4640641708666426e-17,0.003043316458534285,0.07635183767779577,0.09999999999999996,0.09999999999999996,0.09999999999999984,0.0999999999999999,0.0999999999999999,0.09999999999999991,0.0999999999999999,0.09999999999999991,0.1,0.09999999999999969,0.09999999999999976
EA,0.09999999999999874,0.09999999999999995,0.09999999999999978,0.09999999999999998,0.09742269280113725,0.09341803613838615,0.08756429449331249,0.0802715942805676,0.06836852300167877,0.040487676909193415,1.2914488601934508e-17,0.0,0.0,0.0,9.596989119078503e-18,0.0,1.4565707319093757e-16,6.611049687796173e-17,0.0,0.0,0.0,0.0,0.0,3.6307690515528972e-16,2.0389600966361701e-16
STLD,0.0,0.0,9.957571623695728e-16,3.456135386689303e-16,0.0,1.0499349507782354e-16,6.058772816521006e-17,4.6062712410227914e-17,6.089869458798503e-18,4.2229459916015436e-17,1.0030760646900168e-18,0.0,0.035614149086065035,0.09999999999999994,0.09999999999999996,0.09999999999999996,0.09999999999999984,0.09999999999999983,0.0999999999999999,0.09999999999999992,0.0999999999999999,0.09999999999999983,0.1,0.09999999999999956,0.0999999999999998
MCK,0.04896514337268867,0.049624991910060076,0.050538573095174004,0.051900054637762115,0.05404359844759285,0.057123735572050124,0.06205611824929371,0.07297559618982578,0.08966259774366493,0.1,0.1,0.10000000000000002,0.1,0.09999999999999988,0.09999999999999996,0.09999999999999996,0.09999999999999984,0.09999999999999973,0.0999999999999999,0.09999999999999981,0.0999999999999999,0.09999999999999991,0.1,0.09999999999999974,0.09999999999999974
LLY,0.04386876734186611,0.04451148680207584,0.04550044545027548,0.04690436789038766,0.04918676854844191,0.052408368911715214,0.05710473700385784,0.06459785198780915,0.07626160955500133,0.09485473243286413,0.1,0.1,0.09999999999999998,0.09999999999999996,0.09999999999999996,0.09999999999999996,0.09999999999999984,0.09999999999999988,0.0999999999999999,0.09999999999999992,0.0999999999999999,0.09999999999999991,0.1,0.09999999999999945,0.09999999999999978
MSI,0.0,5.644990695879942e-16,0.0,8.203010799216089e-17,0.0,5.281132726542767e-17,4.996746229104403e-17,0.0,1.2421643931499176e-17,0.0,0.0,0.0,3.3831341645674947e-17,0.0,0.0,0.0,3.0293941610239476e-16,9.993025038658611e-17,0.0,0.0,0.0,0.0,0.0,2.936999823791392e-16,3.757142625087022e-16
HCA,0.0,5.448743866785306e-16,0.0,0.0,1.0437805743818409e-17,2.5052524321866517e-17,2.9277838388669923e-18,2.998686368660408e-17,1.0301503759473737e-17,0.0,0.0,0.0,0.0,1.2748157564301807e-16,0.0,3.4361828529700025e-17,0.0,9.903536324351584e-17,0.0,0.0,0.0,0.0,0.0,3.8170855381283805e-16,0.0
